"키","명칭","행정시","행정구","행정동"
"BE_IW16-0077","Gohyang Sancheon","Seoul","Jung-gu","Hwanghak-dong"
"BE_IW16-0078","Gohyang Sancheon","Seoul","Dongdaemun-gu","Hwigyeong1-dong"
"BE_IW16-0079","Gohyang Sancheon","Seoul","Gangbuk-gu","Songcheon-dong"
"BE_IW16-0080","Gohyang Ox Bone Soup","Seoul","Seongbuk-gu","Dongseon-dong"
"BE_IW16-0081","Gohyang Restaurant","Seoul","Mapo-gu","Gongdeok-dong"
"BE_IW16-0082","Gohyang Restaurant","Seoul","Eunpyeong-gu","Yeokchon-dong"
"BE_IW16-0083","Gohyang Restaurant","Seoul","Guro-gu","Gaebong1-dong"
"BE_IW16-0084","Gohyang Restaurant","Seoul","Gangnam-gu","Nonhyeon2-dong"
"BE_IW16-0085","Gohyang Rice with Lettuce Wraps","Seoul","Guro-gu","Gaebong1-dong"
"BE_IW16-0086","Gohyangjip","Seoul","Gwangjin-gu","Guui1-dong"
"BE_IW16-0087","Gohyangjip","Seoul","Gangnam-gu","Nonhyeon2-dong"
"BE_IW16-0088","Gohyangjip","Seoul","Seongbuk-gu","Bomun-dong"
"BE_IW16-0089","Gohyangjip","Seoul","Gwanak-gu","Jungang-dong"
"BE_IW16-0090","Gohyangjip","Seoul","Seocho-gu","Seocho1-dong"
"BE_IW16-0091","Goheung restaurant","Seoul","Gangseo-gu","Hwagok1-dong"
"BE_IW16-0092","Golbangjip","Seoul","Gangbuk-gu","Beon1-dong"
"BE_IW16-0093","Gomguksijip","Seoul","Jung-gu","Myeong-dong"
"BE_IW16-0094","Gomguksijip","Seoul","Jung-gu","Myeong-dong"
"BE_IW16-0095","Gommaru","Seoul","Jongno-gu","Gyonam-dong"
"BE_IW16-0096","Gombawi","Seoul","Gangnam-gu","Samseong1-dong"
"BE_IW16-0097","Gomsotjib","Seoul","Jung-gu","Myeong-dong"
"BE_IW16-0098","Gomtangjib","Seoul","Seongbuk-gu","Dongseon-dong"
"BE_IW16-0099","Park Garden (Restaurant)","Seoul","Guro-gu","Guro5-dong"
"BE_IW16-0100","Gongwon Sanjang","Seoul","Gangbuk-gu","Ui-dong"
"BE_IW16-0101","Gongjujip","Seoul","Nowon-gu","Sanggye1-dong"
"BE_IW16-0102","Gwangyangbulgogi","Seoul","Yangcheon-gu","Sinwol4-dong"
"BE_IW16-0103","Gwangyangbulgogi","Seoul","Songpa-gu","Seokchon-dong"
"BE_IW16-0104","Gwangyangbulgogi","Seoul","Seocho-gu","Banpo4-dong"
"BE_IW16-0105","Gwangyangbulgogibonga","Seoul","Gangnam-gu","Daechi2-dong"
"BE_IW16-0106","Gwanghwamun Jip","Seoul","Jongno-gu","Sajik-dong"
"BE_IW16-0107","Guunmong","Seoul","Gangnam-gu","Yeoksam1-dong"
